FeatureID,FeatureName,Elevation,USGScity,Lat,Lng
454072,Carroll County Park,1332,Manning,-95.0488802,41.9063749
454166,Ambrose A Call State Park,1214,Algona,-94.2480195,43.0527446
454182,Anderson Park,787,Vinton,-92.0162916,42.1597175
454206,Antoine LeClair Park,558,Davenport East,-90.5804145,41.5183659
454375,Bass Memorial Park,1053,Emerson,-95.3949955,41.0161067
454640,Bingham Park,1171,Dows West,-93.5643748,42.7274729
454649,Bixby State Park,984,Edgewood,-91.3995839,42.6752644
454946,Buena Vista County Park,1355,Peterson,-95.3350002,42.885256
454984,Bunns Wood County Park,1001,Bassett,-92.5765743,43.019696
455265,Cedar View Park,988,Nashua,-92.5462959,42.9599755
455385,Cheyenne Park,791,Cedar Rapids South,-91.7035127,41.9397245
455590,Cook Park,1145,Council Bluffs North,-95.8327891,41.2644425
456099,Eagle Point Park,778,Dubuque North,-90.6498497,42.5380568
456237,Edgewood Park,659,Davenport East,-90.5020784,41.5364223
456387,Erickson Park,1037,McCallsburg,-93.4932678,42.1672079
456801,Fullerton Park,837,Waterloo South,-92.2926841,42.4702652
456962,Goodell Wildlife Area,1243,Goodell,-93.5688199,42.9399655
457302,Hartman Wildlife Area,1070,Steamboat Rock,-93.0438119,42.4227591
457439,Hickory Grove County Park,991,Collins,-93.3549308,41.9910988
457476,Highland Park,879,Waterloo North,-92.3115731,42.5027644
457485,Highland Square Park,873,Waterloo South,-92.3129621,42.4997088
457802,Indian Hills Recreation Area,814,La Porte City,-92.1465708,42.3208243
457807,Indian Village State Park,1266,Sutherland East,-95.4269477,42.9788655
457927,Jefferson Park,689,Davenport East,-90.5868037,41.530588
458007,Joy Springs County Park,1060,Strawberry Point,-91.5987623,42.6733175
458121,Klacks Island Park,1007,Fayette,-91.8168301,42.8430366
458189,Lake Keomah State Park,804,University Park,-92.5407453,41.2900085
458306,Lewis Park,1191,Sergeant Bluff,-96.3639173,42.474716
458433,Litka Park,1388,Hartley SW,-95.4347261,43.0394196
458507,Little Sioux County Park,1119,Correctionville,-95.7997316,42.4502668
458766,Manteno County Park,1280,Earling,-95.4638898,41.8544324
458912,McGowan Park,1227,Clear Lake West,-93.3874282,43.1438481
458968,Memorial Park,676,Dixon,-90.7932011,41.7397492
458969,Memorial Park,735,Marengo,-92.0568474,41.797504
459110,Miller Park,906,Waterloo South,-92.353519,42.4772087
459161,Mohawk Park,722,Cedar Rapids North,-91.6876806,42.0036104
459214,Moorehead Pioneer Park,1273,Ida Grove,-95.480278,42.362487
459421,Musser Park,545,Muscatine,-91.0620941,41.4066952
459436,Nash Park,922,Des Moines SW,-93.6299405,41.6008225
459997,Palisades-Kepler State Park,794,Bertram,-91.5062854,41.9075063
460028,Parkers Woods,1115,Mason City,-93.2129814,43.154128
460174,Pine Lake State Park,971,Eldora,-93.0782573,42.3708158
460175,Pine Tree Park,1250,Ventura Heights,-93.3890947,43.1155157
460191,Pioneer State Park,1142,New Haven,-92.6796312,43.3410814
460537,Ravine Park,1197,Sergeant Bluff,-96.3691953,42.454716
460572,Reed Park,850,Waterloo South,-92.3432408,42.4988751
460685,Riverview Park,725,Davenport East,-90.6015269,41.5925314
461212,Saint Marys Park,991,Charles City,-92.675467,43.0633056
461517,Seyffer Public Use Area,896,Zaneta,-92.5335253,42.3772079
461547,Sheaffer Park,679,Fort Madison,-91.3012613,40.6433742
461938,Squaw Creek Park,892,Ames East,-93.6232738,42.0185973
462115,Sunset Park,725,Washington,-91.7048898,41.2977945
462248,Timmons Grove County Park,886,LaMoille,-93.0035339,42.0960979
462398,Twin Bridges County Park,1056,Maynard,-91.8798892,42.8183146
462571,Viking Lake State Park,1158,Stanton,-95.0374847,40.9724901
462596,W-K-W County Park,1099,Hampton North,-93.1763117,42.7733057
462666,Wapsi River Access,1257,Little Cedar,-92.6332372,43.464967
462703,Washington Park,853,Cedar Falls,-92.4357429,42.5294289
462954,Westview Park,1322,Spencer,-95.1588842,43.1458023
463344,Hobbs County Park,1076,Lanesboro,-94.7135918,42.1677616
463402,Bradgate State Fishing Access,1109,Bradgate,-94.395804,42.786361
463557,Twin Springs Park,958,Decorah,-91.8168218,43.2955276
463886,Little Clear Lake Park,1280,Varina,-94.9108206,42.7335872
463895,Nations Bridge County Park,981,Stuart North,-94.3310748,41.5766542
463899,Goeken County Park,1191,Festina,-91.8373833,43.0394212
464887,John ODonnell Stadium,561,Davenport East,-90.5812479,41.5189215
464935,Wessel Park,673,Silvis,-90.4945781,41.5339223
464962,Centennial Park,794,Eldridge,-90.5859712,41.6589197
464984,Dewitt Park,594,Clinton,-90.191238,41.8394736
465008,Clarks Ferry Recreation Area,554,Montpelier,-90.8095884,41.4578085
465042,Fuller Park,699,Muscatine,-91.0854284,41.4236391
465045,Lincolnshire Park,627,Muscatine,-91.0337608,41.4519727
465090,Harbor Road Park,561,Davenport East,-90.6248605,41.5044766
465294,Waterworks Park,791,Des Moines SW,-93.6493855,41.5738783
465307,College Green Park,663,Iowa City West,-91.5273904,41.6600167
465569,Marble Shaft Monument,1440,Milford,-95.1519405,43.343575
465855,Lake Binder Park,1142,Bedford,-94.6896907,40.7147098
1822720,Northview Park,912,Des Moines NW,-93.721055,41.6527664
1822851,Foster Park,1017,Clarinda South,-95.0308127,40.7388795
1822913,Nodaway Valley County Park,1109,Hawleyville,-94.9822007,40.7619342
1822946,Lions Park,1093,Osceola,-93.757164,41.034441
1823011,Otter Creek County Park,978,Medora,-93.5313257,41.2449951
1823029,Dayton Park,961,Indianola,-93.5524375,41.3666593
1823122,Rogers Park,1043,Perry,-94.029399,41.7577646
1823172,Graham Park,1234,Carroll East,-94.8599856,42.0674851
1823205,South Park,1263,Sac City East,-94.9983224,42.4133146
1823262,East Lake County Park,1079,Jamison,-93.7418859,41.0352745
1823366,Eikenberry Park,1040,Chariton,-93.3121539,41.0177775
1823367,North Park,1037,Chariton,-93.3149318,41.0213885
